"id","array_agg"
"0182a8ba-fe12-bbf9-0c3f-30eee14ce0bc","{NULL}"
"0182f7e6-63c1-0f7c-e9aa-19cedf4fcd84","{NULL,NULL,NULL,NULL,NULL}"
"0185abf9-74b1-17c5-e7b0-f0ced92d414b","{NULL,NULL}"
"0198d3d5-7a8a-0f16-290c-b3cbe42b30b0","{NULL}"
"01a1a3de-32a8-8082-1fbd-3ebd79753acf","{NULL}"
"01a6fdb5-1304-b7c5-fb06-a1edd912cbb9","{NULL}"
"01a7bdd4-05ef-7ddb-5739-c6c250447248","{NULL}"
"01acf7db-fe65-c021-60dd-0ecce927d29e","{NULL}"
"01af4d1c-d87f-9315-29e3-87a15992da74","{NULL,NULL}"
"01b441d9-6f64-fb82-ba4b-85a9d346bb21","{NULL}"
"01b5f4a2-1789-c0b3-7a00-a75d6fefa698","{NULL,NULL,NULL,NULL,NULL}"
"01b697d4-8d8f-f7e1-e2f3-d505de657711","{NULL,NULL,NULL}"
"01ba4e79-7ef1-a417-0eaa-a8d01632966b","{NULL,NULL,NULL,NULL,NULL,NULL}"
"01bcfeb0-5416-2961-8ed3-475a22daee03","{NULL,NULL}"
"01c11d2d-a771-7cc4-c4e4-f0113fb9781b","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"01c5d001-bed1-c92e-f578-d6222abe40a5","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"01cf0e63-b097-04c8-2b26-a7bc2e0b798d","{NULL}"
"01d039a8-5f21-e9f5-52dd-faa2b4436064","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"01d3f024-d38a-5165-cc92-d715fb94fe9a","{NULL,NULL}"
"01e0d01e-fef2-a278-bca6-47cc438025bd","{NULL,NULL}"
"01e796fa-72cd-52ef-ca06-6defb88371c0","{NULL,NULL,NULL}"
"01f9a75d-6a38-6f85-e704-bf6c8bdce3c1","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"01fe68b1-8301-53d8-6b47-402c371833de","{NULL,NULL,NULL,NULL,NULL}"
"02052f3e-1256-2c13-8819-1e0993b3bd90","{NULL,NULL}"
